,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,15.0,7.5,14.0,2.0,13.0,11.5,4.0,7.5,1.0,9.0,3.0,5.5,5.5,10.0,11.5
1,15.0,10.5,7.5,4.5,10.5,2.0,4.5,13.0,4.5,10.5,7.5,1.0,10.5,14.0,4.5
2,15.0,10.0,4.5,1.5,13.0,7.5,12.0,4.5,7.5,10.0,1.5,4.5,14.0,10.0,4.5
3,13.5,9.5,4.0,2.0,6.0,9.5,4.0,13.5,1.0,7.5,4.0,13.5,7.5,13.5,11.0
4,15.0,7.0,13.0,2.0,13.0,9.5,7.0,3.0,1.0,11.0,4.0,7.0,5.0,9.5,13.0
5,15.0,3.0,14.0,11.0,12.0,7.0,13.0,3.0,5.5,9.0,1.0,9.0,9.0,5.5,3.0
6,15.0,11.5,5.5,3.0,13.5,8.5,8.5,4.0,1.0,5.5,2.0,8.5,13.5,11.5,8.5
7,15.0,12.5,8.5,3.5,12.5,3.5,6.0,10.5,1.0,10.5,2.0,6.0,8.5,6.0,14.0
8,15.0,13.5,11.5,6.0,11.5,2.5,4.0,9.0,6.0,2.5,1.0,9.0,13.5,6.0,9.0
9,15.0,13.0,9.0,2.0,4.5,1.0,7.5,11.5,10.0,7.5,4.5,4.5,4.5,14.0,11.5
10,13.0,10.5,7.0,3.5,10.5,2.0,7.0,14.0,1.0,7.0,3.5,10.5,5.0,10.5,15.0
11,15.0,4.5,13.0,9.5,11.5,1.5,4.5,7.5,4.5,11.5,7.5,1.5,9.5,4.5,14.0
12,12.5,2.0,5.0,12.5,8.5,2.0,14.5,5.0,11.0,5.0,2.0,10.0,7.0,8.5,14.5
13,11.0,7.0,9.0,3.0,7.0,1.5,11.0,13.5,1.5,13.5,7.0,4.5,11.0,15.0,4.5
14,15.0,6.5,10.5,3.5,2.0,10.5,6.5,13.0,1.0,6.5,3.5,10.5,14.0,6.5,10.5
15,12.0,7.5,14.0,4.0,1.0,4.0,9.5,2.0,4.0,12.0,9.5,6.0,12.0,7.5,15.0
16,15.0,7.5,10.5,4.5,7.5,2.5,13.5,4.5,7.5,13.5,10.5,1.0,12.0,2.5,7.5
17,14.0,7.5,11.0,3.5,11.0,3.5,1.5,7.5,1.5,5.0,11.0,7.5,13.0,15.0,7.5
18,15.0,7.5,10.5,2.5,13.5,4.5,10.5,7.5,1.0,13.5,4.5,2.5,6.0,10.5,10.5
19,15.0,12.0,8.5,3.5,5.5,8.5,1.5,12.0,1.5,5.5,8.5,3.5,8.5,12.0,14.0
