,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,12.5,10.5,8.0,3.5,14.0,15.0,6.0,3.5,6.0,2.0,9.0,1.0,6.0,10.5,12.5
1,12.5,15.0,11.0,6.5,3.5,2.0,9.0,14.0,5.0,1.0,3.5,9.0,9.0,6.5,12.5
2,15.0,12.5,11.0,6.5,12.5,2.5,14.0,9.0,1.0,9.0,4.5,2.5,6.5,9.0,4.5
3,14.0,15.0,7.5,6.0,11.5,7.5,4.5,3.0,1.0,2.0,13.0,10.0,4.5,11.5,9.0
4,11.5,8.0,10.0,3.0,14.0,15.0,13.0,1.0,11.5,5.0,2.0,6.5,9.0,4.0,6.5
5,15.0,6.5,13.5,4.5,3.0,2.0,11.0,1.0,8.5,12.0,13.5,8.5,6.5,4.5,10.0
6,15.0,8.0,13.5,3.5,11.0,3.5,13.5,6.5,11.0,1.0,9.0,2.0,6.5,5.0,11.0
7,14.0,13.0,4.5,10.0,2.5,15.0,6.5,1.0,12.0,4.5,11.0,8.0,6.5,2.5,9.0
8,12.0,7.5,3.5,15.0,12.0,10.0,3.5,14.0,5.5,12.0,7.5,1.5,5.5,1.5,9.0
9,13.0,12.0,8.5,5.0,6.5,1.0,10.5,14.0,6.5,15.0,2.5,10.5,4.0,2.5,8.5
10,14.0,13.0,4.0,11.0,4.0,2.0,8.0,15.0,1.0,11.0,9.0,7.0,6.0,4.0,11.0
11,14.0,3.5,11.5,2.0,14.0,9.0,3.5,11.5,7.0,6.0,1.0,9.0,9.0,5.0,14.0
12,14.0,12.0,6.0,3.0,12.0,3.0,1.0,9.0,15.0,6.0,3.0,9.0,9.0,12.0,6.0
13,15.0,13.0,10.0,6.5,1.0,10.0,2.5,6.5,6.5,2.5,13.0,10.0,6.5,4.0,13.0
14,14.5,8.5,5.0,2.0,12.0,4.0,8.5,14.5,3.0,8.5,12.0,12.0,6.0,8.5,1.0
15,14.5,14.5,9.0,4.0,11.0,4.0,6.5,12.5,1.0,2.0,4.0,9.0,6.5,9.0,12.5
16,14.5,8.0,12.0,5.5,12.0,5.5,14.5,2.0,1.0,5.5,10.0,3.0,12.0,5.5,9.0
17,14.0,4.0,11.0,8.5,6.5,3.0,8.5,12.0,2.0,10.0,1.0,6.5,5.0,15.0,13.0
18,14.0,2.0,7.0,9.0,7.0,7.0,4.0,10.5,4.0,1.0,12.5,10.5,15.0,4.0,12.5
19,14.0,6.5,11.0,3.0,2.0,1.0,11.0,15.0,6.5,4.0,11.0,9.0,6.5,6.5,13.0
