,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,11.0,10.0,8.0,3.0,12.0,3.0,13.5,1.0,13.5,6.0,5.0,8.0,8.0,3.0,15.0
1,7.0,12.5,10.5,1.0,9.0,4.5,14.5,2.5,10.5,4.5,7.0,12.5,7.0,2.5,14.5
2,14.0,7.0,13.0,3.0,9.5,4.5,2.0,1.0,4.5,9.5,7.0,12.0,7.0,11.0,15.0
3,6.5,8.5,11.5,15.0,11.5,4.0,4.0,1.0,11.5,2.0,6.5,4.0,8.5,11.5,14.0
4,12.0,7.5,14.0,1.0,10.0,7.5,4.0,2.0,7.5,11.0,4.0,14.0,7.5,4.0,14.0
5,6.5,8.5,11.0,1.0,8.5,4.5,6.5,3.0,13.0,2.0,4.5,11.0,14.0,11.0,15.0
6,9.5,13.5,15.0,2.0,13.5,7.5,4.0,6.0,11.5,4.0,9.5,1.0,7.5,4.0,11.5
7,14.5,11.0,11.0,2.5,11.0,7.5,2.5,1.0,7.5,5.5,11.0,14.5,4.0,5.5,11.0
8,10.5,2.5,5.0,1.0,5.0,9.0,12.5,2.5,10.5,14.0,15.0,7.5,7.5,5.0,12.5
9,14.0,7.0,15.0,3.5,5.0,2.0,3.5,1.0,10.5,9.0,7.0,12.5,7.0,10.5,12.5
10,15.0,13.5,11.0,1.5,11.0,1.5,9.0,3.0,11.0,7.5,6.0,4.5,7.5,4.5,13.5
11,12.5,5.0,7.5,2.5,12.5,15.0,7.5,1.0,9.5,5.0,2.5,12.5,9.5,5.0,12.5
12,15.0,11.5,7.0,2.0,9.0,4.5,13.5,1.0,11.5,7.0,13.5,3.0,7.0,10.0,4.5
13,14.5,8.5,12.5,2.5,10.0,6.0,1.0,2.5,4.0,8.5,11.0,6.0,14.5,6.0,12.5
14,14.0,2.0,10.0,1.0,4.0,12.0,15.0,4.0,7.0,10.0,4.0,7.0,13.0,10.0,7.0
15,15.0,4.5,13.5,2.5,2.5,6.5,13.5,11.0,11.0,4.5,9.0,1.0,6.5,8.0,11.0
16,11.0,8.5,5.0,14.0,8.5,11.0,6.5,1.0,4.0,3.0,6.5,2.0,11.0,15.0,13.0
17,9.5,7.0,14.5,4.5,7.0,3.0,9.5,1.0,14.5,4.5,13.0,2.0,11.5,7.0,11.5
18,15.0,10.0,14.0,2.5,5.5,2.5,7.0,1.0,10.0,5.5,12.5,4.0,10.0,8.0,12.5
19,15.0,14.0,13.0,6.0,9.0,11.5,7.0,4.0,2.0,3.0,9.0,1.0,9.0,11.5,5.0
