,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,15.0,13.0,3.0,9.0,6.0,9.0,4.5,9.0,1.0,11.5,2.0,4.5,14.0,11.5,7.0
1,13.5,1.0,3.5,13.5,3.5,9.0,15.0,9.0,9.0,3.5,9.0,3.5,9.0,9.0,9.0
2,7.5,13.0,3.0,10.5,7.5,1.0,15.0,12.0,5.0,14.0,3.0,9.0,6.0,3.0,10.5
3,15.0,11.5,13.0,14.0,5.0,1.5,10.0,5.0,1.5,5.0,11.5,8.5,5.0,5.0,8.5
4,15.0,13.0,3.0,7.0,14.0,2.0,7.0,1.0,4.0,7.0,10.0,7.0,11.0,12.0,7.0
5,15.0,14.0,3.0,7.5,5.0,1.0,9.0,10.5,7.5,12.0,3.0,10.5,3.0,6.0,13.0
6,15.0,3.0,13.5,6.0,10.5,1.5,8.0,12.0,13.5,6.0,9.0,4.0,10.5,6.0,1.5
7,15.0,14.0,7.0,7.0,2.5,1.0,10.0,7.0,4.0,12.0,11.0,2.5,7.0,7.0,13.0
8,15.0,8.5,8.5,6.0,11.0,1.0,6.0,2.5,13.5,11.0,4.0,2.5,13.5,11.0,6.0
9,11.5,6.0,11.5,15.0,7.5,2.5,11.5,11.5,11.5,1.0,4.5,11.5,4.5,2.5,7.5
10,15.0,11.5,9.5,5.0,13.0,5.0,14.0,2.5,2.5,1.0,7.5,9.5,5.0,7.5,11.5
11,10.5,12.5,14.0,6.0,6.0,3.5,1.0,15.0,2.0,10.5,9.0,8.0,3.5,6.0,12.5
12,13.0,8.0,15.0,6.5,6.5,2.0,4.0,10.5,1.0,10.5,4.0,10.5,10.5,4.0,14.0
13,11.0,15.0,13.0,4.0,13.0,10.0,6.5,4.0,13.0,4.0,6.5,1.0,8.5,8.5,2.0
14,15.0,14.0,12.5,2.5,6.0,2.5,12.5,6.0,9.5,11.0,9.5,2.5,8.0,2.5,6.0
15,14.5,4.0,12.0,7.0,4.0,7.0,1.5,9.5,4.0,12.0,7.0,1.5,12.0,9.5,14.5
16,13.5,15.0,10.0,2.5,10.0,13.5,5.0,7.5,1.0,2.5,5.0,5.0,12.0,7.5,10.0
17,13.5,6.0,7.5,12.0,9.0,1.5,3.0,7.5,4.0,10.0,1.5,5.0,13.5,11.0,15.0
18,15.0,11.0,9.5,1.5,13.5,7.5,5.0,3.0,1.5,9.5,7.5,5.0,13.5,12.0,5.0
19,14.0,8.0,6.0,1.5,12.0,1.5,15.0,8.0,12.0,3.5,8.0,3.5,12.0,5.0,10.0
