,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,15.0,7.0,12.5,4.0,12.5,8.5,4.0,2.0,12.5,1.0,6.0,10.0,12.5,4.0,8.5
1,9.5,15.0,13.5,4.5,6.5,9.5,12.0,2.5,9.5,1.0,13.5,6.5,2.5,9.5,4.5
2,12.5,14.0,10.5,5.0,15.0,5.0,7.5,10.5,1.0,2.0,5.0,3.0,7.5,9.0,12.5
3,10.0,12.5,14.0,2.0,10.0,7.5,1.0,5.5,7.5,10.0,3.5,12.5,3.5,5.5,15.0
4,12.5,5.5,10.0,1.5,10.0,3.0,5.5,15.0,5.5,14.0,8.0,12.5,5.5,1.5,10.0
5,13.5,12.0,8.5,4.0,10.5,4.0,2.0,6.5,4.0,8.5,1.0,13.5,10.5,6.5,15.0
6,12.0,9.5,8.0,5.5,2.0,14.0,5.5,9.5,2.0,5.5,5.5,12.0,12.0,2.0,15.0
7,14.5,10.0,10.0,4.0,12.5,2.0,14.5,5.0,12.5,10.0,2.0,7.5,2.0,6.0,7.5
8,14.0,9.0,12.5,3.0,15.0,2.0,5.0,11.0,1.0,5.0,7.0,9.0,9.0,5.0,12.5
9,14.0,7.0,9.0,3.5,11.0,2.0,14.0,3.5,7.0,11.0,5.0,1.0,7.0,11.0,14.0
10,11.5,15.0,9.5,4.0,13.0,6.0,7.5,1.5,7.5,14.0,9.5,4.0,4.0,1.5,11.5
11,13.0,10.0,4.0,7.0,15.0,4.0,10.0,13.0,10.0,7.0,2.0,13.0,1.0,7.0,4.0
12,11.0,5.0,8.5,2.0,12.5,5.0,8.5,1.0,12.5,8.5,5.0,3.0,15.0,14.0,8.5
13,9.5,15.0,12.0,4.0,7.0,2.0,12.0,1.0,4.0,12.0,14.0,7.0,9.5,7.0,4.0
14,14.0,7.5,11.0,3.5,13.0,11.0,2.0,7.5,1.0,3.5,5.5,11.0,15.0,9.0,5.5
15,12.5,6.0,8.5,3.5,12.5,6.0,10.5,2.0,1.0,3.5,6.0,14.5,14.5,10.5,8.5
16,14.5,5.5,13.0,10.0,12.0,10.0,7.5,2.5,1.0,10.0,5.5,4.0,2.5,7.5,14.5
17,15.0,3.5,13.5,8.0,6.0,2.0,11.0,9.0,1.0,11.0,13.5,5.0,7.0,3.5,11.0
18,15.0,8.0,12.0,4.0,6.5,12.0,9.5,2.0,1.0,9.5,4.0,6.5,12.0,4.0,14.0
19,15.0,8.0,13.5,5.5,10.0,5.5,1.5,3.0,1.5,5.5,10.0,13.5,12.0,5.5,10.0
