,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,12.5,4.5,15.0,7.0,12.5,10.0,7.0,2.5,1.0,2.5,10.0,14.0,7.0,4.5,10.0
1,14.5,12.0,14.5,7.0,13.0,5.5,10.5,4.0,10.5,8.5,5.5,1.0,2.0,3.0,8.5
2,15.0,9.0,13.0,7.5,14.0,7.5,1.0,5.0,2.5,11.5,5.0,2.5,11.5,10.0,5.0
3,11.0,8.5,13.5,3.5,15.0,13.5,5.0,2.0,3.5,1.0,6.5,11.0,8.5,11.0,6.5
4,15.0,5.0,13.0,8.5,3.0,2.0,13.0,7.0,10.5,8.5,5.0,13.0,10.5,1.0,5.0
5,8.0,5.0,9.5,3.0,6.5,2.0,14.5,4.0,1.0,6.5,12.0,14.5,12.0,9.5,12.0
6,7.0,10.5,14.5,3.0,7.0,2.0,12.5,4.0,1.0,9.0,5.0,10.5,7.0,12.5,14.5
7,14.0,7.5,15.0,5.0,9.0,3.0,10.0,4.0,1.0,2.0,12.0,13.0,7.5,6.0,11.0
8,11.0,3.0,14.0,8.5,15.0,3.0,13.0,6.0,1.0,6.0,8.5,12.0,6.0,3.0,10.0
9,11.5,4.0,15.0,7.5,9.5,2.0,5.5,3.0,1.0,5.5,7.5,9.5,13.0,11.5,14.0
10,12.5,4.5,14.0,8.5,6.5,2.5,12.5,15.0,4.5,6.5,10.5,8.5,1.0,10.5,2.5
11,12.0,14.5,9.5,2.5,14.5,8.0,5.5,5.5,5.5,2.5,9.5,1.0,11.0,5.5,13.0
12,15.0,6.0,13.0,4.0,11.5,1.5,9.0,14.0,9.0,6.0,3.0,1.5,11.5,6.0,9.0
13,12.5,10.5,12.5,6.0,8.0,3.5,14.0,3.5,1.0,2.0,9.0,6.0,10.5,6.0,15.0
14,10.0,14.5,5.5,2.0,12.0,9.0,3.0,5.5,5.5,12.0,1.0,5.5,12.0,8.0,14.5
15,13.5,8.0,13.5,3.0,13.5,3.0,6.0,10.0,1.0,3.0,5.0,10.0,13.5,7.0,10.0
16,14.5,9.0,7.5,2.0,3.5,11.0,5.5,11.0,1.0,7.5,5.5,3.5,14.5,13.0,11.0
17,14.5,1.0,13.0,4.0,7.5,2.0,7.5,11.5,7.5,4.0,14.5,11.5,4.0,7.5,10.0
18,7.0,2.5,11.0,13.0,9.5,5.0,12.0,7.0,1.0,2.5,15.0,9.5,7.0,4.0,14.0
19,15.0,1.0,9.0,3.0,12.0,5.0,14.0,10.5,6.0,3.0,10.5,7.5,7.5,3.0,13.0
