0,0
1481,1641
1616,1112
1353,1665
1185,1504
1361,1762
1257,1704
1358,1730
1127,1637
1373,1684
2044,568
1343,1756
1497,1681
1232,1889
1433,1753
1385,1833
1592,1768
1680,1393
1681,2005
1544,1465
1656,1729
1720,1736
1644,1712
1561,1520
1761,1720
1656,1848
1736,1720
1733,1887
1592,1784
1721,1797
1592,2304
1497,1148
1577,1440
1456,1409
1505,1385
1649,1497
1530,1445
1689,1389
1448,1264
1680,2433
1561,1424
1681,1465
1689,1424
1669,1497
1572,1425
1496,1408
2895,3903
2895,128
2895,3903
1797,3241
128,128
1136,2905
1128,2776
1903,3249
1984,3576
2895,3903
2895,3903
2895,3903
1104,2840
2895,3903
2895,3903
1577,1944
1729,2048
2895,3903
1593,1805
1616,1980
1608,2041
2847,3839
128,128
1738,1984
1728,1993
2895,3903
2895,3903
2895,3903
2895,3903
2895,3903
1681,1921
1886,1900
1901,1928
1720,1689
1873,1904
1921,1945
1843,1859
1702,1722
1864,1937
1832,2001
1865,1961
1848,1953
1864,1904
1865,2001
1777,1816
1576,3112
1508,3121
1529,3145
1344,2712
1541,3161
1481,3177
1493,2998
1349,2866
1585,3240
1545,3112
1441,3216
1529,3306
1529,3085
1423,3158
1537,3144
2895,3903
2895,3903
2895,3903
1088,1936
128,128
128,128
2847,3839
2607,3519
2895,3903
128,128
2895,3903
128,128
128,3903
128,128
1208,2064
2895,3903
2895,128
2895,128
2607,3519
2871,128
2895,128
2847,3839
2607,128
2895,3903
2895,128
2895,128
2895,128
2895,128
2895,128
2895,128
1661,1946
1593,1979
1598,1978
1426,1835
1560,2016
1528,1888
1560,1913
1456,1849
1664,2057
1562,1969
1617,1989
1665,1920
1600,1929
1544,1917
1764,1989
1049,952
1153,964
856,873
848,881
1169,969
1158,879
1112,989
895,828
976,924
2081,1823
1016,989
1016,1041
984,969
969,933
1093,1115
2153,1620
1328,1957
1289,1961
1977,1625
2187,1688
1272,2064
1209,2024
2209,1448
2248,1488
1695,374
2201,1713
2345,3184
1233,2015
1217,2080
1929,704
1513,1306
1673,3440
1129,1009
1184,1329
1401,1513
1313,1489
1360,1413
1216,1281
1272,1457
